CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,300000,1113.858629,3.712862096666667,36.92367375527478,9.945454832840396,30.164532949200552,269.351714533
1,576000,2138.579983,3.7128124704861114,50.712252206245864,7.114360801216993,42.16822963894122,140.288795936
1,768000,2851.494183,3.7128830507812496,61.39809601136592,6.460082306437331,46.439036806242626,105.216329595
1,1017600,3778.147197,3.7128018838443393,78.40107351146827,6.225786696225458,48.18668140074292,79.409457261
1,1248000,4633.490872,3.712733070512821,94.57376747930998,6.1237128706093165,48.989886746624954,64.750649507
1,1324800,4919.000459,3.713013631491546,100.50265758422626,6.129971489530707,48.93986872734495,60.99312831
1,1497600,5560.498221,3.7129395172275643,111.72535015152081,6.028351739438584,49.764846672324204,53.956883834
1,1612800,5988.263005,3.7129606925843253,119.57334643050243,5.991020155175225,50.07494420476134,50.103307585
1,1708800,6344.775078,3.713000396769663,130.23073315248928,6.158320892823921,48.71457743450486,47.287769513
1,1804800,6701.065469,3.712913047983156,147.56111641438198,6.606821195145128,45.40761602878676,44.773456285
6,300000,2337.959896,7.793199653333333,79.60395128639756,10.215842409617757,29.366153858987044,128.333358389
6,652800,5083.194957,7.786756980698529,138.56697879171665,8.180203272214923,36.67390528289038,59.034290446
6,806400,6280.880998,7.788790920138888,164.96872725137027,7.882038453526702,38.0612200471782,47.778985659
6,979200,7631.840037,7.79395428615196,213.9477439739741,8.413364141542036,35.657555640402215,39.324388214
6,1094400,8526.603001,7.791121163194443,248.99374005169054,8.764636616599306,34.228458420264836,35.200228788
6,1209600,9425.662938,7.792380074404762,279.71975403146024,8.906928959583933,33.68164283798372,31.842330873
6,1324800,10327.733407,7.795692487167875,328.983839274026,9.561414047077129,31.376112207138267,29.063476395
6,1555200,12120.722395,7.793674379501029,427.05472228763256,10.575950116405506,28.36624574605712,24.764859313
6,1708800,13313.215585,7.7909735399110485,509.6310118144606,11.491630715449691,26.105955493041648,22.548923533
6,1843200,14359.563469,7.790561777886285,581.2601490622072,12.152324948885738,24.686634143000543,20.906860669
6,1939200,15107.261557,7.790460786406765,649.1103901968845,12.8991041570995,23.257429069978002,19.871973014
6,2169600,16904.26551,7.7914203125000006,835.8999552059284,14.846372253891806,20.206956613347643,17.760943952
6,2208000,17203.807776,7.791579608695653,874.6859007472173,15.265623917252901,19.651997299694123,17.452692337
6,2304000,17952.247023,7.791773881510417,994.6675055024999,16.636560801025755,18.032573173507288,16.725750775
